Grantmaker.Name,Contact,Street.Address.1,Street.Address.2,City,State,ZIP.Code,Country,Telephone,Fax,E.mail,URL,Total.Assets,Total.Giving,Amount.Funded,Grant.Count,RFPs
Grand Rapids Community Foundation,,185 Oakes St SW,NA,Grand Rapids,MI,49503-4008,United States,616-454-1751,(616) 454-6455,svanderroest@grfoundation.org,http://www.grfoundation.org,446007139,16078689,2111706,160,0
The Meijer Foundation,,PO Box 150449,NA,Grand Rapids,MI,49515,United States,,,,,172757329,12031844,35612279,59,0
Fidelity Investments Charitable Gift Fund,Shelbi Orr,245 Summer St,NA,Boston,MA,02210-1116,United States,800-952-4438,(877) 665-4274,GrantCDI@fmr.com,https://www.fidelitycharitable.org/,56657940564,10356741867,4461493,47,0
Frey Foundation,,40 Pearl St NW Ste 1100,NA,Grand Rapids,MI,49503-3028,United States,616-451-0303,(616) 451-8481,contact@freyfdn.org,HTTP://FREYFDN.ORG/,147686324,5522441,1383500,38,0
Douglas & Maria Devos Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,(616) 774-0116,info@dmdevosfoundation.org,http://DMDEVOSFOUNDATION.ORG,75306136,17086310,16519080,29,0
The Richard and Helen Devos Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,,,,,86474,3450000,39542670,28,0
Community Foundation for Southeast Michigan,"Nicole Sherard-Freeman, President; Nicole Sherard-Freeman, President; Randall Ross, Vice President, Donor Services",333 W Fort St,NA,Detroit,MI,48226-3134,United States,313-961-6675,313-961-2886,rdevore@cfsem.org,http://www.cfsem.org/,1142486271,95386578,1789416,25,0
Dick and Betsy Devos Family Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,,TomB@dvfoundations.org,http://WWW.DBDVFOUNDATION.ORG,57578796,7249300,6024788,24,0
Cdv5 Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,(616) 774-0116,info@vw-foundation.org,http://CDV5FOUNDATION.ORG,81373267,3592500,13237000,23,0
Edgar & Elsa Prince Foundation,,190 S River Ave Ste 300,NA,Holland,MI,49423-2825,United States,616-494-8100,616-494-8110,,,1071741,1367500,1828000,22,0
Daniel & Pamella Devos Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,(616) 774-0116,TomB@rdvcorp.com,http://www.dpdevosfoundation.org,9947343,9847000,10523421,21,0
The Samuel L Westerman Foundation,,40100 Woodward Avenue,NA,BLOOMFIELD HILLS,MI,48304,United States,248-594-5770,,,,11090432,481500,126250,21,0
Peter and Joan Secchia Family Inc,,220 Lyon St NW Ste 510,NA,Grand Rapids,MI,49503-2210,United States,616-235-0010,,,,99894733,17017887,1254000,20,0
Cystic Fibrosis Foundation,,4550 Montgomery Ave Ste 1100n,NA,Bethesda,MD,20814-3732,United States,800-344-4823,(301) 951-6378,cmurphy@cff.org,http://www.cff.org,4885921122,200455461,4244306,19,0
John Dykema and Michele Maly-Dykema Family Foundation,,423 Buena Vista Dr,NA,Spring Lake,MI,49456-1734,United States,616-780-0000,,,,5140485,263719,319900,19,0
The Korff Foundation,,545 Clark Dr NW,NA,Comstock Park,MI,49321-9202,United States,616-301-1305,,,,7964866,362400,45000,16,0
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)",,9800 Schwab Way,NA,Lone Tree,CO,80124-5377,United States,800-746-6216,877-535-3852,ask@schwabcharitable.org,http://www.dafgiving360.org,41110879271,6623957198,975780,14,0
The Pfizer Foundation Inc,,66 Hudson Blvd E,NA,New York City,NY,10001-2189,United States,212-733-4250,(212) 309-4254,,http://WWW.PFIZER.COM,255366549,45690467,4081,14,0
The Gerber Foundation,"Catherine Obits, Program Manager",4747 W 48th St Ste 153,NA,Fremont,MI,49412-8119,United States,231-924-3175,231-924-7906,tgf@gerberfoundation.org,http://WWW.GERBERFOUNDATION.ORG,86569243,3764740,5532494,13,0
Brown Tassell Foundation,,2353 Cascade Lakes Cir SE,NA,Grand Rapids,MI,49546-6630,United States,616-682-5262,,,,4555195,231500,421000,12,0
Douglas & Sandra Dekock Family Foun C/o Douglas Dekock,,806 N Shore Dr,NA,Holland,MI,49424-2752,United States,616-396-4950,,,,2816623,995250,83000,12,0
Natl Christian Charitable Foundation Inc,"Steve Chapman, Chief Creative Officer",1150 Sanctuary Pkwy Ste 350,NA,Alpharetta,GA,30009-4736,United States,404-252-0100,(404) 252-5177,info@nationalchristian.com,http://WWW.NCFGIVING.COM,5271121456,2069339216,6425487,11,0
Michigan Health Endowment Fund,,9829 Spencer Rd Ste 201,NA,Brighton,MI,48114-7718,United States,517-374-0031,,,http://WWW.MIHEALTHFUND.ORG,479695196,35232446,4685999,11,0
Klopcic Family Foundation,,28100 Gorsuch Ave,NA,Romulus,MI,48174-2629,United States,734-946-6200,,,,9554366,495000,531000,11,0
