"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"COLON CANCER COALITION","MN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,40000,"","PATIENT SUPPORT"
"PUBLIC HEALTH INSTITUTE","CA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2023,37000,"Research","Research"
"THE GREENVILLE AREA COMMUNITY FOUNDATION","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,36619,"","VARIOUS"
"Kutsche Charitable Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,36000,"","ANNUAL FUND"
"Hemophilia Foundation of Michigan","MI","Corewell Health Foundation West Michigan","Grand Rapids","MI","Philanthropy ",2023,35437,"","MEDICAL SERVICES"
"Alan Jay and Sue Kaufman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,35000,"","GENERAL PURPOSE GRANT"
"The Barton Malow Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,30000,"","HUMAN SERVICES"
"Michigan Gateway Community Foundation","MI","Spectrum Health - Msu Alliance Corporation","Grand Rapids","MI","Health ",2023,28333,"","HEALTH CENTER PLEDGE"
"Amyotrophic Lateral Sclerosis Association","VA","Corewell Health","Grand Rapids","MI","Community health care ",2023,25000,"Research","ANNUAL GRANT PAYMENT FY23 CENTER OF EXCELLENCE/RESEARCH"
"Eagle Feather Foundation","GA","Spectrum Health Foundation","Big Rapids","MI"," ",2023,25000,"General support","SUPPORT"
"Harry A. and Margaret D. Towsley Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,25000,"Program support;General support","PROGRAM SUPPORT"
"Donald and Norma Golden Fam Foundation C/o Bruce Kahn Esq","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,25000,"","HEALTH CARE"
"Cdv5 Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2023,25000,"General support","GENERAL OPERATING"
"The Meijer Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2023,25000,"General support","GENERAL OPERATING SUPPORT"
"Daniel & Pamella Devos Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2023,25000,"General support","GENERAL OPERATING"
"The William Chinnick Charitable Foundation","FL","Spectrum Health - Msu Alliance Corporation","Grand Rapids","MI","Science ",2023,25000,"General support","Unrestricted Grant"
"Vanguard Charitable","PA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,23250,"","FOR RECIPIENT&#039;S EXEMPT PURPOSE"
"The Children's Hospital of Philadelphia","PA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2023,22487,"Research","RESEARCH"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Spectrum Health Foundation","Big Rapids","MI"," ",2023,22250,"","HEALTH"
"THE CHILDREN'S ONCOLOGY GROUP FOUNDATION, INC.","PA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2023,22100,"","TO CURE CHILDREN AND IMPROVE CAPACITY AND QUALITY OF TREATMENT"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,20000,"General support","UNRESTRICTED GENERAL SUPPORT"
"The Kirk Gibson Foundation for Parkinson's","MI","Spectrum Health Foundation","Grand Rapids","MI","Rehabilitation ",2023,20000,"","EVERYBODY VS PARKINSON&#039;S PROGRAM MOVEMENT AND SPEECH THERAPY CLASSES"
