Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
Fidelity Investments Charitable Gift Fund,Shelbi Orr,245 Summer St,,Boston,MA,02210-1116,United States,800-952-4438,(877) 665-4274,GrantCDI@fmr.com,https://www.fidelitycharitable.org/,56657940564,10356741867,211709,24,0
United Jewish Foundation,,6735 Telegraph Rd,,Bloomfield Hills,MI,48301-3141,United States,248-642-4260,(248) 645-7879,tcohen@jfmd.org,http://WWW.JEWISHDETROIT.ORG,674906226,47155970,602550,5,0
Kaiser Foundation Hospitals,,C/O Kp Tax One Kaiser Plz Fl 26,,OAKLAND,CA,94612,United States,510-271-6611,,,http://www.kp.org,72059961625,173924980,499364,5,0
Weyerhaeuserday Foundation,,30 7th St E Ste 2000,,St Paul,MN,55101-4930,United States,651-228-0935,,,,11877746,580000,70000,5,0
Bank of America Charitable Foundation,"Jennifer Silvania, Senior Vice President",401 N Tryon St Nc1-021-06-01,,Charlotte,NC,28255-0001,United States,980-386-9127,,,https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-funding,7556845,225641539,7250,5,0
Racing for Kids C/o J Patrick Wright,,8120 Lindy Ln,,Harbor Springs,MI,49740-9028,United States,313-882-3403,(313) 882-2193,,http://RACINGFORKIDS.ORG,184863,55065,95000,4,0
Herrick Foundation,,2010 Hogback Rd Ste 5,,Ann Arbor,MI,48105-9749,United States,734-646-3281,(313) 496-8452,,http://HERRICKFDN.ORG,183762532,7463088,1100000,3,0
Marvin and Nola Goldman Foundation,,27221 Willowgreen Ct,,Franklin,MI,48025-1786,United States,248-258-8900,,,,155673,7052,41540,3,0
Baird Foundation Inc,,777 E Wisconsin Ave,,Milwaukee,WI,53202-5300,United States,414-765-3500,,,,130491206,6618746,375,3,0
National Multiple Sclerosis Society,"Teri Brickey, Director, Individual Giving",733 3rd Ave Fl 3,,New York City,NY,10017-3211,United States,800-344-4867,(212) 986-7981,cynthia.zagieboylo@nmss.org,https://www.nationalmssociety.org,201117763,30200989,387620,2,0
