Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Primary Subject,Year Authorized,Grant Amount,Support Strategies,Description
Herrick Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2024,500000,Research,SUPPORT FOR PRECISION MED. RESEARCH
Arab Community Center for Economic & Social Services (ACCESS),MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2024,10000,,DONOR DIRECT FUND DISTRIBUTION
Baidoun Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2024,6000,,CHARITY
Elaine and Rankin Peck Family Foundation (att Joan C Skrzyniarz),MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2024,5000,,Charitable
Herrick Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2023,500000,Research,SUPPORT FOR PRECISION MED. RESEARCH
Kaiser Foundation Hospitals,CA,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2023,121399,Research,Research / Project Support
"American Cancer Society, Inc.",GA,Henry Ford Health Parent,Detroit,MI,Health ,2023,100000,,Patient Support
Baidoun Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2023,500,,CHARITY
Baird Foundation Inc,WI,Henry Ford Health System Foundation,Detroit,MI,Human services ,2023,200,,HEALTH AND HUMAN SERVICES
William & Martha Ford Fund,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2022,150000,,ANNUAL FUND
Kaiser Foundation Hospitals,CA,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2022,112666,Research,Research / Project Support
United Jewish Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health care quality ,2022,25500,,TO SUPPORT HEALTH CARE
Jamjomar Cares Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2022,500,,ASSISTANCE FOR THE NEEDY
The Carls Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Rehabilitation ,2021,220000,Building and renovations,CAPITAL CONSTRUCTION OF PEDIATRIC HEARING CLINIC
Kaiser Foundation Hospitals,CA,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2021,57182,Research,Research / Project Support
Weyerhaeuserday Foundation,MN,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2021,25000,General support,GENERAL OPERATING SUPPORT
The Gerber Foundation,MI,Henry Ford Health Parent,Detroit,MI,Biomedicine ,2021,20000,Research,Identifying Methylome Alterations at Birth Indicative of Later Allergic Disorders
Bank of America Charitable Foundation,NC,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2021,2500,General support,OPERATIONAL SUPPORT
Olson-Kui Ka Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2021,300,General support,General Fund
Baird Foundation Inc,WI,Henry Ford Health System Foundation,Detroit,MI,Human services ,2021,100,,HEALTH AND HUMAN SERVICES
The Ralph C Wilson Jr Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2020,200000,,"SEE PART XV, SUPPLEMENTARY INFORMATIONRECIPIENT 56TO SUPPORT THE EXTRAORDINARY FINANCIAL AND STRESS RELIEF NEEDS OF CAREGIVERS, INCLUDING NURSE AIDES, ENVIRONMENTAL AND FOOD SERVICES STAFF, SERVING IN ACUTE CARE SETTINGS IMPACTED BY THE COVID-19 CRISIS IN SOUTHEAST MICHIGAN AND WESTERN NEW YORK."
