Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
Alcon Cares Inc,,6201 South Fwy # Tb3-4,,Fort Worth,TX,76134-2001,United States,817-551-8565,(800) 554-2660,,https://www.alcon.com/about-us/corporate-giving/,N/A,2788919,83,6,0
Kaiser Foundation Hospitals,,C/O Kp Tax One Kaiser Plz Fl 26,,OAKLAND,CA,94612,United States,510-271-6611,,,http://www.kp.org,72059961625,173924980,416936792,5,0
GORDON E AND BETTY I MOORE FOUNDATION,Ignacio Estrada,1661 Page Mill Rd,,Palo Alto,CA,94304-1209,United States,650-213-3000,(650) 213-3003,ignacio.estrada@moore.org,https://www.moore.org/,8766258805,401820277,225000,3,0
ARCHSTONE FOUNDATION,Connie Pena,301 E Ocean Blvd Ste 1850,,Long Beach,CA,90802-4866,United States,562-590-8655,562-495-0317,cpena@archstone.org,http://www.archstone.org,106591460,2195854,189981,3,0
Robert Wood Johnson Foundation,,50 College Rd E,,Princeton,NJ,08540-6926,United States,609-627-6000,,mail@rwjf.org,http://WWW.RWJF.ORG,13679127003,543575302,115000,3,0
The Institute for Sexual Medicine Inc,,5555 Reservoir Dr Ste 300,,San Diego,CA,92120-5194,United States,619-265-7695,,,http://SEXUALMED.ORG,16499,N/A,142244,2,0
Washington Health Alliance,,1809 7th Ave Ste 1609,,Seattle,WA,98101-1313,United States,206-454-2959,,,http://WWW.WAHEALTHALLIANCE.ORG,4239174,N/A,30000,2,0
Enlight Foundation,,954 Roble Ridge Rd,,Palo Alto,CA,94306-2609,United States,650-804-1232,,,,461385239,39613833,127870,1,0
Horticultural Research Institute,,2130 Stella Ct,,Columbus,OH,43215-1011,United States,614-487-1117,(202) 789-1893,,http://WWW.HRIRESEARCH.ORG,20184335,431848,45800,1,0
United Food and Commercial Workers International Union,,1775 K St NW,,Washington,DC,20006-1502,United States,2022233111,,,http://www.ufcw.org,339224220,3771172,35048,1,0
Child's Play,"Kirsten Carlile, Director, Philanthropy & Partner Experiences; Travis Eriksen, Executive Director",2446 6th Ave S,,Seattle,WA,98134,United States,425-403-5558,,childsplaycharity@childsplaycharity.org,http://WWW.CHILDSPLAYCHARITY.ORG,15114514,2343143,17280,1,0
Ht Hayashi Foundation,,PO Box 10360,,Honolulu,HI,96816-0360,United States,808-394-8120,,,,4540511,355500,10000,1,0
Saint Luke's Foundation of Cleveland Ohio,,11327 Shaker Blvd # 600w,,Cleveland,OH,44104-3862,United States,216-431-8010,(216) 431-8015,,http://WWW.SAINTLUKESFOUNDATION.ORG,201816681,7538493,10000,1,0
Minneapolis Foundation,"Chris Beach, Sr. Vice President, Philanthropic Services; Gregory Wenz, Chief Financial Officer",800 Ids Center 80 S Eighth St,,MINNEAPOLIS,MN,55402,United States,612-672-3878,(612) 672-3846,e-mail@mplsfoundation.org,http://WWW.MINNEAPOLISFOUNDATION.ORG,1134066155,113983030,1076,1,0
H & R Peters Family Foundation,,1441 Fountaingrove Pkwy,,Santa Rosa,CA,95403-1738,United States,707-539-3573,,,,1219792,37300,14,1,0
