Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
The Pittsburgh Foundation,,912 Fort Duquesne Blvd Fl 10,,Pittsburgh,PA,15222-3638,United States,412-391-5122,412-391-5156,info@pghfdn.org,http://www.pittsburghfoundation.org,1401303944,59441174,10155005,203,0
Hillman Family Foundations,"David Roger, President",310 Grant St Ste 2020,,Pittsburgh,PA,15219-2213,United States,412-338-3466,(412) 338-3463,foundation@hillmanfo.com,https://hillmanfamilyfoundations.org/,1865996880,90274318,916625,15,0
Russell Charitable Foundation C/o Andrew K Russell,,3237 SW Cascasde Ter,,PORTLAND,OR,97205-5881,United States,,,,http://ANDYRUSSELL.ORG,N/A,7125,26250,7,0
The Foundation for Surgical Fellowships,"Adeena Bleich, Executive Director",11300 W Olympic Blvd Ste 600,,Los Angeles,CA,90064-1663,United States,310-437-0581,,Adeena@surgicalfellowships.org,HTTP://WWW.SURGICALFELLOWSHIPS.ORG/,239201,920000,370000,6,0
Love Family Foundation Incorporated,,PO Box 11556,,Pittsburgh,PA,15238-0556,United States,412-389-0956,,,,2703041,87845,22500,6,0
Alfred P. Sloan Foundation,,630 Fifth Avenue Suite 2200,,New York City,NY,10111,United States,212-649-1649,(212) 757-5117,,http://WWW.SLOAN.ORG,2116962267,89745363,6245000,5,0
Power of 32 Site Development Fund,,5 Ppg Pl Ste 250,,Pittsburgh,PA,15222-5405,United States,4123915122,,,http://p32sitefund.com,1069725707,50215971,363609,5,0
John G Rangos Charitable Foundation,,6915 Stone Meadow Dr,,Dallas,TX,75230-2379,United States,4128716120,,,http://WWW.RANGOSFOUNDATION.ORG,19242878,N/A,190000,5,0
Joseph a Patrick Foundation Inc,,469 Ridgewood Ave,,Glen Ridge,NJ,07028-1721,United States,973-908-2012,,,,4824349,188125,450000,4,0
Jewish Federation of Greater Pittsburgh,,2000 Technology Dr,,Pittsburgh,PA,15219-3112,United States,412-681-8000,412-681-3980,mehven@jfedpgh.org,https://jewishpgh.org/,352288593,28948016,76250,4,0
Pnc Foundation,,300 5th Ave,,Pittsburgh,PA,15222-2401,United States,412-565-4532,(412) 705-3584,stephanie.garbe@pnc.com,https://www.pnc.com/en/about-pnc/corporate-responsibility/philanthropy/pnc-foundation.html,126633811,82865128,20150,4,0
Raymond Frodey,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,412-209-4730,,,,1068596,44454,924118,3,0
National Pancreas Foundation,"Emilie White, Program Coordinator",3 Bethesda Metro Ctr Ste 700,,Bethesda,MD,20814-6300,United States,866-726-2737,(301) 657-9776,info@pancreasfoundation.org,http://WWW.PANCREASFOUNDATION.ORG,623372,107000,165000,3,0
"Huntington's Disease Society of America, Inc.",,505 8th Ave Rm 902,,New York City,NY,10018-6588,United States,212-242-1968,212-239-3430,mperez@hdsa.org,http://www.hdsa.org,18147360,3678844,97000,3,0
Fidelity Investments Charitable Gift Fund,Shelbi Orr,245 Summer St,,Boston,MA,02210-1116,United States,800-952-4438,(877) 665-4274,GrantCDI@fmr.com,https://www.fidelitycharitable.org/,56657940564,10356741867,60050,3,0
John H Pelusi Jr and Kathleen J Pelusi Family Foundation,,501 Grant St Ste 450,,Pittsburgh,PA,15219-4427,United States,412-281-8714,,,,6867041,310000,56000,3,0
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)",,9800 Schwab Way,,Lone Tree,CO,80124-5377,United States,800-746-6216,877-535-3852,ask@schwabcharitable.org,http://www.dafgiving360.org,41110879271,6623957198,26000,3,0
Hunter Legacy Family Foundation,,5925 State Line Rd,,Kansas City,MO,64113-1322,United States,816-255-8058,,,,2810228,131715,8000,3,0
Wells Fargo Foundation,,600 S 4th St,,Minneapolis,MN,55415-1526,United States,,,housingphilanthropy@wellsfargo.com,,50523797,217631092,300,3,0
Kathleen Duross Ford Fund Inc Co L Frank Chopin Plc,,PO Box 4297,,West Palm Beach,FL,33402-4297,United States,,,,,75561418,148000,1000000,2,0
The Wheeler Family Charitable Foundation,,PO Box 466,,Somerset,PA,15501-0466,United States,412-256-8867,,,,9257136,214500,500000,2,0
Robert Wood Johnson Foundation,,50 College Rd E,,Princeton,NJ,08540-6926,United States,609-627-6000,,mail@rwjf.org,http://WWW.RWJF.ORG,13679127003,543575302,455565,2,0
Tippins Foundation,,209 4th Ave,,Pittsburgh,PA,15222-1707,United States,4123910300,,,,610627,539935,150000,2,0
Staunton Farm Foundation Trust,"Monique Jackson , Executive Director",401 Liberty Ave Ste 2325,,Pittsburgh,PA,15222-1035,United States,412-281-8020,(412) 232-3115,office@stauntonfarm.org,https://stauntonfarm.org,65350551,3001603,118300,2,0
St Jude Medical Foundation,,1 Saint Jude Medical Dr,,St Paul,MN,55117-1789,United States,,,,http://WWW.SJMFOUNDATION.COM,N/A,175000,115000,2,0
The Heinz Endowments,"Courtney Tolmer, Communications Manager",625 Liberty Ave Fl 30,,Pittsburgh,PA,15222-3110,United States,412-281-5777,(412) 281-5788,info@heinz.org,http://WWW.HEINZ.ORG,2130567687,73517264,105000,2,0
Citrone Foundation Inc,,18 Marshall St Ste 330,,Norwalk,CT,06854-2237,United States,203-956-7959,,,,167715,217670,102500,2,0
The Frank E Rath Spang & Company Charitable Trust,,C/O Spang Company 110 Delta Dr,,PITTSBURGH,PA,15238,United States,412-963-9363,,,,4598335,203753,100000,2,0
Dialysis Clinic Inc,,1633 Church St Ste 500,,Nashville,TN,37203-2948,United States,615-234-5251,,,http://WWW.DCIINC.ORG,697727403,6861547,87396,2,0
The Children's Hospital of Philadelphia,Peggy Flynn,3401 Civic Center Blvd,,Philadelphia,PA,19104-4319,United States,215-590-1000,,,http://www.chop.edu,8131937980,56679163,80181,2,0
Rheumatology Research Foundation,,2200 Lake Blvd NE,,Brookhaven,GA,30319-5310,United States,404-929-4804,404-600-1674,kgreene@rheumatology.org,http://rheumresearch.org,70729610,12418699,75000,2,0
The Picker Institute Inc,,PO Box 777,,Camden,ME,04843-0777,United States,,,,http://WWW.PICKERINSTITUTE.ORG,916614,1760457,35000,2,0
Salvitti Family Foundation Ima,,750 E Beau St,,Washington,PA,15301-6661,United States,724-228-2982,,,,6678929,2645000,35000,2,0
Bny Mellon Foundation of Southwestern Pa,,PO Box 185,,Pittsburgh,PA,15230-0185,United States,412-234-0023,,powering.potential@bnymellon.com,,102151196,4810017,20000,2,0
The Grable Foundation,"Dana Lamenza, Financial Administrator",436 7th Ave Ste 2400,,Pittsburgh,PA,15219-1844,United States,412-471-4550,(412) 471-2267,grable@grable.org,http://WWW.GRABLE.ORG,326491183,12365114,20000,2,0
Lonnie & Carol Poole Family Foundation,,3301 Benson Dr Ste 304,,Raleigh,NC,27609-7381,United States,984-214-7156,,,,7608432,235482,5000,2,0
Minneapolis Foundation,"Chris Beach, Sr. Vice President, Philanthropic Services; Gregory Wenz, Chief Financial Officer",800 Ids Center 80 S Eighth St,,MINNEAPOLIS,MN,55402,United States,612-672-3878,(612) 672-3846,e-mail@mplsfoundation.org,http://WWW.MINNEAPOLISFOUNDATION.ORG,1134066155,113983030,1242,2,0
The Pfizer Foundation Inc,,66 Hudson Blvd E,,New York City,NY,10001-2189,United States,212-733-4250,(212) 309-4254,,http://WWW.PFIZER.COM,255366549,45690467,1073,2,0
North Hills Passavant Hospital Foundation,"Fay Morgan, Pres. And C.E.O.",9100 Babcock Blvd,,Pittsburgh,PA,15237-5815,United States,(412) 367-6640,(412) 748-6994,phf@upmc.edu,http://www.passavanthospitalfoundation.org,41421004,831099,1699996,1,0
Nuclear Threat Initiative Inc,,1776 I St NW Ste 1000,,Washington,DC,20006-3719,United States,202-296-4810,202-296-4811,macdougall@nti.org,http://www.nti.org,92105358,5047285,1062330,1,0
George and Melodie Rogers Foundation,,2037 W Bullard Ave # 220,,Fresno,CA,93711-1233,United States,5592848184,,,,52324,2500000,1000000,1,0
Burroughs Wellcome Fund,,21 Tw Alexander Dr,,Durham,NC,27713-2847,United States,919-991-5100,(919) 991-5160,info@bwfund.org,http://WWW.BWFUND.ORG,848033791,37721546,700000,1,0
William Randolph Hearst Foundation,,300 W 57th St Fl 26,,New York City,NY,10019-3741,United States,212-649-3748,,hearst.ny@hearstfdn.org,http://www.hearstfdn.org,863516672,36856583,500000,1,0
Foundation for Anesthesia Education and Research,"Max Kelz, President & Chief Science Officer; Trevor Peterson, Associate Director Of Development",1061 American Ln,,Schaumburg,IL,60173-4973,United States,630-912-2554,847-825-2085,FAER@faer.org,http://FAER.org,31101797,4186730,250000,1,0
The Subsidiaries of the Institute for Transfusion Medicine,,875 Greentree Rd,,Pittsburgh,PA,15220-3508,United States,412-209-7300,,,http://www.itxm.org,151126881,1088800,209446,1,0
Metlife Foundation,,200 Park Ave,,New York City,NY,10166-0005,United States,212-578-4133,(212) 578-0617,metlifefoundation@metlife.com,http://www.metlife.com/sustainability,127111548,37401844,200000,1,0
Walmart Foundation,,702 SW 8th St Dept 9740,,Bentonville,AR,72716-0150,United States,800-530-9925,(479) 273-6850,,https://walmart.org/,23414644,119938388,200000,1,0
Edith L Trees Trust Char Trust Art X,,116 Allegheny Center Mall # P8yb35,,Pittsburgh,PA,15212,United States,412-762-9973,,,,397504631,18588107,120000,1,0
J. William Warehime Foundation,,305 Baltimore St,,Hanover,PA,17331-3205,United States,717-637-9243,,,https://warehimefoundation.org/,131039625,4911500,100000,1,0
Blechman Foundation Inc,David Blechman,C/O D Blechman 9 Island Ave 1914,,MIAMI BEACH,FL,33139,United States,305-742-5455,,david@blechmanfoundation.org,http://WWW.BLECHMANFOUNDATION.ORG,226639,N/A,100000,1,0
Mccune Foundation Pnc Bank Na,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,4127624133,(412) 644-8059,info@mccune.org,http://www.mccune.org,170793742,47572750,100000,1,0
The O Wayne Rollins Foundation C/o Rfa Management Co LLC,,1908 Cliff Valley Way NE,,Atlanta,GA,30329-2421,United States,404-486-4627,(404) 486-4658,akreisler@rfallc.com,,794534121,36084138,100000,1,0
The Frazier Foundation,,701 Grove Pl,,Vero Beach,FL,32963-9560,United States,561-276-7631,,,,915507,170447,75000,1,0
United Spinal Association Inc,,102 Duane Rd,,Bayside,NY,11359-1028,United States,718-803-3782,718-803-0414,askus@unitedspinal.org,http://UNITEDSPINAL.ORG,8138766,413529,60000,1,0
