,fiscal_year,Main_Organization,agency_ic_admin_name,award_amount,duration_days,organization_org_state,agency_state
0,2006,Kaiser Permanente,National Cancer Institute,497899.0,364.0,WA,MD
1,2006,Kaiser Permanente,National Institute of Mental Health,563433.0,364.0,WA,MD
2,2006,Kaiser Permanente,National Center for Complementary and Integrative Health,513624.0,335.0,WA,MD
3,2006,Kaiser Permanente,National Center for Complementary and Integrative Health,709086.0,364.0,WA,MD
4,2006,Kaiser Permanente,National Institute on Drug Abuse,549606.0,212.0,WA,MD
5,2006,Kaiser Permanente,National Institute of Mental Health,465495.0,364.0,WA,MD
6,2006,Kaiser Permanente,National Center for Complementary and Integrative Health,273000.0,335.0,WA,MD
7,2006,Kaiser Permanente,National Institute on Aging,1181574.0,364.0,WA,MD
8,2006,Kaiser Permanente,National Cancer Institute,405033.0,333.0,WA,MD
9,2006,Kaiser Permanente,National Institute of Mental Health,284280.0,364.0,WA,MD
10,2006,Kaiser Permanente,National Institute of Mental Health,100322.0,364.0,WA,MD
11,2006,Kaiser Permanente,Eunice Kennedy Shriver National Institute of Child Health and Human Development,625671.0,364.0,WA,MD
12,2006,Kaiser Permanente,National Institute of Mental Health,580009.0,364.0,WA,MD
13,2006,Kaiser Permanente,National Institute of Mental Health,241602.0,364.0,WA,MD
14,2006,Kaiser Permanente,National Cancer Institute,5831567.0,425.0,WA,MD
15,2006,Kaiser Permanente,National Cancer Institute,256234.0,729.0,WA,MD
16,2006,Kaiser Permanente,National Cancer Institute,1000072.0,364.0,WA,MD
17,2006,Kaiser Permanente,National Institute on Aging,485386.0,730.0,WA,MD
18,2006,Kaiser Permanente,National Center for Complementary and Integrative Health,617686.0,364.0,WA,MD
19,2006,Kaiser Permanente,National Institute of Mental Health,80893.0,364.0,WA,MD
20,2006,Kaiser Permanente,National Cancer Institute,189010.0,425.0,WA,MD
21,2006,Kaiser Permanente,National Institute of Mental Health,289774.0,730.0,WA,MD
22,2006,Kaiser Permanente,National Cancer Institute,1088162.0,335.0,WA,MD
23,2006,Kaiser Permanente,National Heart Lung and Blood Institute,675452.0,280.0,WA,MD
24,2006,Kaiser Permanente,National Cancer Institute,220345.0,323.0,WA,MD
25,2006,Kaiser Permanente,National Institute of Mental Health,70309.0,456.0,WA,MD
26,2006,Kaiser Permanente,National Institute of Mental Health,385801.0,730.0,WA,MD
27,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,315760.0,364.0,PA,MD
28,2006,University of Pittsburgh,National Cancer Institute,239940.0,336.0,PA,MD
29,2006,University of Pittsburgh,National Cancer Institute,200182.0,883.0,PA,MD
30,2006,University of Pittsburgh,National Institute of Mental Health,163836.0,364.0,PA,MD
31,2006,University of Pittsburgh,National Heart Lung and Blood Institute,618699.0,364.0,PA,MD
32,2006,University of Pittsburgh,National Heart Lung and Blood Institute,349899.0,364.0,PA,MD
33,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,307123.0,364.0,PA,MD
34,2006,University of Pittsburgh,National Institute of General Medical Sciences,120582.0,364.0,PA,MD
35,2006,University of Pittsburgh,National Heart Lung and Blood Institute,524185.0,333.0,PA,MD
36,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,261363.0,1156.0,PA,MD
37,2006,University of Pittsburgh,National Cancer Institute,205170.0,364.0,PA,MD
38,2006,University of Pittsburgh,National Institute of Mental Health,182266.0,364.0,PA,MD
39,2006,University of Pittsburgh,National Institute of Mental Health,164294.0,364.0,PA,MD
40,2006,University of Pittsburgh,National Heart Lung and Blood Institute,346219.0,364.0,PA,MD
41,2006,University of Pittsburgh,National Institute of Mental Health,118261.0,364.0,PA,MD
42,2006,University of Pittsburgh,National Institute of Mental Health,237815.0,364.0,PA,MD
43,2006,University of Pittsburgh,National Institute of Mental Health,2183012.0,364.0,PA,MD
44,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,273966.0,393.0,PA,MD
45,2006,University of Pittsburgh,National Heart Lung and Blood Institute,318481.0,730.0,PA,MD
46,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,281997.0,364.0,PA,MD
47,2006,University of Pittsburgh,National Institute of Mental Health,434657.0,364.0,PA,MD
48,2006,University of Pittsburgh,National Institute of General Medical Sciences,253768.0,730.0,PA,MD
49,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,269753.0,364.0,PA,MD
50,2006,University of Pittsburgh,National Cancer Institute,194864.0,364.0,PA,MD
51,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,219840.0,364.0,PA,MD
52,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,463263.0,730.0,PA,MD
53,2006,University of Pittsburgh,Agency for Healthcare Research and Quality,300000.0,730.0,PA,MD
54,2006,University of Pittsburgh,National Cancer Institute,322648.0,364.0,PA,MD
55,2006,University of Pittsburgh,National Cancer Institute,2220687.0,229.0,PA,MD
56,2006,University of Pittsburgh,National Institute on Drug Abuse,217515.0,1095.0,PA,MD
57,2006,University of Pittsburgh,National Institute of Mental Health,667898.0,364.0,PA,MD
58,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,357728.0,364.0,PA,MD
59,2006,University of Pittsburgh,National Center for Research Resources,2274162.0,273.0,PA,MD
60,2006,University of Pittsburgh,National Institute on Aging,117828.0,303.0,PA,MD
61,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,664163.0,364.0,PA,MD
62,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,106000.0,364.0,PA,MD
63,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,267544.0,364.0,PA,MD
64,2006,University of Pittsburgh,National Heart Lung and Blood Institute,159192.0,548.0,PA,MD
65,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,101898.0,364.0,PA,MD
66,2006,University of Pittsburgh,National Heart Lung and Blood Institute,54631.0,364.0,PA,MD
67,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,386474.0,364.0,PA,MD
68,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,270617.0,364.0,PA,MD
69,2006,University of Pittsburgh,National Heart Lung and Blood Institute,366036.0,364.0,PA,MD
70,2006,University of Pittsburgh,National Institute of General Medical Sciences,2264684.0,343.0,PA,MD
71,2006,University of Pittsburgh,National Heart Lung and Blood Institute,626558.0,729.0,PA,MD
72,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,254486.0,364.0,PA,MD
73,2006,University of Pittsburgh,National Institute of Dental and Craniofacial Research,357541.0,364.0,PA,MD
74,2006,University of Pittsburgh,National Heart Lung and Blood Institute,354855.0,364.0,PA,MD
75,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,148500.0,354.0,PA,MD
76,2006,University of Pittsburgh,National Institute on Aging,215481.0,350.0,PA,MD
77,2006,University of Pittsburgh,National Institute of General Medical Sciences,445490.0,364.0,PA,MD
78,2006,University of Pittsburgh,National Eye Institute,77146.0,364.0,PA,MD
79,2006,University of Pittsburgh,National Cancer Institute,196538.0,364.0,PA,MD
80,2006,University of Pittsburgh,National Cancer Institute,117900.0,364.0,PA,MD
81,2006,University of Pittsburgh,National Institute on Aging,137869.0,364.0,PA,MD
82,2006,University of Pittsburgh,National Institute of Mental Health,71320.0,364.0,PA,MD
83,2006,University of Pittsburgh,National Institute of General Medical Sciences,241864.0,364.0,PA,MD
84,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,406831.0,337.0,PA,MD
85,2006,University of Pittsburgh,National Heart Lung and Blood Institute,359125.0,345.0,PA,MD
86,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,157152.0,319.0,PA,MD
87,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,186824.0,364.0,PA,MD
88,2006,University of Pittsburgh,National Institute of Mental Health,185521.0,1095.0,PA,MD
89,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,821574.0,364.0,PA,MD
90,2006,University of Pittsburgh,National Institute on Deafness and Other Communication Disorders,29802.0,364.0,PA,MD
91,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,402385.0,364.0,PA,MD
92,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,635047.0,364.0,PA,MD
93,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,126305.0,356.0,PA,MD
94,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,372022.0,364.0,PA,MD
95,2006,University of Pittsburgh,National Institute on Drug Abuse,300366.0,304.0,PA,MD
96,2006,University of Pittsburgh,National Institute of General Medical Sciences,233233.0,364.0,PA,MD
97,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,258857.0,364.0,PA,MD
98,2006,University of Pittsburgh,John E. Fogarty International Center for Advanced Study in the Health Sciences,399999.0,364.0,PA,MD
99,2006,University of Pittsburgh,National Cancer Institute,2362312.0,340.0,PA,MD
100,2006,University of Pittsburgh,National Eye Institute,317642.0,364.0,PA,MD
101,2006,University of Pittsburgh,National Cancer Institute,68342.0,304.0,PA,MD
102,2006,University of Pittsburgh,National Cancer Institute,104330.0,364.0,PA,MD
103,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,406991.0,364.0,PA,MD
104,2006,University of Pittsburgh,National Institute of Nursing Research,255339.0,338.0,PA,MD
105,2006,University of Pittsburgh,National Cancer Institute,543504.0,304.0,PA,MD
106,2006,University of Pittsburgh,National Institute of Nursing Research,581192.0,364.0,PA,MD
107,2006,University of Pittsburgh,National Cancer Institute,276569.0,283.0,PA,MD
108,2006,University of Pittsburgh,National Institute on Aging,1568447.0,350.0,PA,MD
109,2006,University of Pittsburgh,National Cancer Institute,1663828.0,296.0,PA,MD
110,2006,University of Pittsburgh,National Cancer Institute,309749.0,364.0,PA,MD
111,2006,University of Pittsburgh,National Cancer Institute,139422.0,364.0,PA,MD
112,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,275072.0,730.0,PA,MD
113,2006,University of Pittsburgh,National Cancer Institute,225107.0,313.0,PA,MD
114,2006,University of Pittsburgh,National Institute of Nursing Research,405040.0,730.0,PA,MD
115,2006,University of Pittsburgh,National Eye Institute,282838.0,350.0,PA,MD
116,2006,University of Pittsburgh,National Cancer Institute,278440.0,364.0,PA,MD
117,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,233565.0,652.0,PA,MD
118,2006,University of Pittsburgh,National Institute on Drug Abuse,1250000.0,364.0,PA,MD
119,2006,University of Pittsburgh,National Institute of Mental Health,156618.0,364.0,PA,MD
120,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,231388.0,364.0,PA,MD
121,2006,University of Pittsburgh,National Institute on Aging,122034.0,320.0,PA,MD
122,2006,University of Pittsburgh,National Institute on Aging,1014733.0,364.0,PA,MD
123,2006,University of Pittsburgh,National Institute of Mental Health,172466.0,285.0,PA,MD
124,2006,University of Pittsburgh,National Heart Lung and Blood Institute,128331.0,364.0,PA,MD
125,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,95621.0,364.0,PA,MD
126,2006,University of Pittsburgh,National Institute on Drug Abuse,530512.0,364.0,PA,MD
127,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,126225.0,364.0,PA,MD
128,2006,University of Pittsburgh,National Institute of General Medical Sciences,205791.0,364.0,PA,MD
129,2006,University of Pittsburgh,National Heart Lung and Blood Institute,152645.0,364.0,PA,MD
130,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,333975.0,348.0,PA,MD
131,2006,University of Pittsburgh,National Heart Lung and Blood Institute,292939.0,364.0,PA,MD
132,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,641736.0,347.0,PA,MD
133,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,334467.0,364.0,PA,MD
134,2006,University of Pittsburgh,Public Health Program Office,579239.0,364.0,PA,GA
135,2006,University of Pittsburgh,National Cancer Institute,206448.0,364.0,PA,MD
136,2006,University of Pittsburgh,National Cancer Institute,314446.0,364.0,PA,MD
137,2006,University of Pittsburgh,National Institute on Deafness and Other Communication Disorders,7359.0,90.0,PA,MD
138,2006,University of Pittsburgh,National Institute of Nursing Research,308336.0,730.0,PA,MD
139,2006,University of Pittsburgh,National Institute of Mental Health,319008.0,364.0,PA,MD
140,2006,University of Pittsburgh,National Cancer Institute,297272.0,283.0,PA,MD
141,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,53749.0,364.0,PA,MD
142,2006,University of Pittsburgh,National Heart Lung and Blood Institute,135640.0,364.0,PA,MD
143,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,344398.0,364.0,PA,MD
144,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,262838.0,699.0,PA,MD
145,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,252929.0,730.0,PA,MD
146,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,253121.0,729.0,PA,MD
147,2006,University of Pittsburgh,National Cancer Institute,205379.0,364.0,PA,MD
148,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,105500.0,211.0,PA,MD
149,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,124299.0,364.0,PA,MD
150,2006,University of Pittsburgh,National Institute of General Medical Sciences,173595.0,638.0,PA,MD
151,2006,University of Pittsburgh,National Institute of General Medical Sciences,127449.0,364.0,PA,MD
152,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,301420.0,364.0,PA,MD
153,2006,University of Pittsburgh,National Institute of Mental Health,237817.0,364.0,PA,MD
154,2006,University of Pittsburgh,National Institute of Mental Health,448604.0,364.0,PA,MD
155,2006,University of Pittsburgh,National Heart Lung and Blood Institute,2437747.0,364.0,PA,MD
156,2006,University of Pittsburgh,National Cancer Institute,291447.0,333.0,PA,MD
157,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,298436.0,364.0,PA,MD
158,2006,University of Pittsburgh,National Heart Lung and Blood Institute,353419.0,364.0,PA,MD
159,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,222023.0,730.0,PA,MD
