Topic,fiscal_year,duration_days_sum,duration_days_avg,award_amount_sum,award_amount_avg,num_projects
Top-Level: Infectious & Immune Diseases,2006,239817.0,409.24402730375425,199221404.0,339968.2662116041,586
Top-Level: Infectious & Immune Diseases,2007,251594.0,400.62738853503186,220352301.0,350879.4601910828,628
Top-Level: Infectious & Immune Diseases,2008,277422.0,407.97352941176473,241472733.0,355106.9602941176,680
Top-Level: Infectious & Immune Diseases,2009,339487.0,431.9173027989822,292878584.0,372619.0636132315,786
Top-Level: Infectious & Immune Diseases,2010,323545.0,437.8146143437077,294847480.0,398981.7050067659,739
Top-Level: Infectious & Immune Diseases,2011,246642.0,398.4523424878837,247119732.0,399224.1227786753,619
Top-Level: Infectious & Immune Diseases,2012,267436.0,413.9876160990712,254307028.0,393664.1300309597,646
Top-Level: Infectious & Immune Diseases,2013,249302.0,427.6192109777015,244126090.0,418741.14922813035,583
Top-Level: Infectious & Immune Diseases,2014,230441.0,413.7181328545781,238113551.0,427492.9102333932,557
Top-Level: Infectious & Immune Diseases,2015,253811.0,411.36304700162077,252506880.0,409249.4003241491,617
Top-Level: Infectious & Immune Diseases,2016,273755.0,401.40029325513194,280500463.0,411291.00146627566,682
Top-Level: Infectious & Immune Diseases,2017,298625.0,414.75694444444446,295776684.0,410800.95,720
Top-Level: Infectious & Immune Diseases,2018,301313.0,409.39266304347825,308023398.0,418510.05163043475,736
Top-Level: Infectious & Immune Diseases,2019,289298.0,421.71720116618076,295675200.0,431013.4110787172,686
Top-Level: Infectious & Immune Diseases,2020,312229.0,428.885989010989,348751208.0,479053.85714285716,728
Top-Level: Infectious & Immune Diseases,2021,287655.0,426.78783382789317,292400447.0,433828.55637982197,674
Top-Level: Infectious & Immune Diseases,2022,297140.0,425.70200573065904,356589483.0,510873.1848137536,698
Top-Level: Infectious & Immune Diseases,2023,288294.0,413.02865329512895,354005903.0,507171.7808022923,698
Top-Level: Infectious & Immune Diseases,2024,275980.0,393.1339031339031,333398897.0,474927.2037037037,702
Top-Level: Infectious & Immune Diseases,2025,230468.0,387.993265993266,303456077.0,510868.8164983165,594
"Top-Level: Neurological, Mental & Behavioral Health",2006,334407.0,412.3390875462392,295697978.0,364609.0974106042,811
"Top-Level: Neurological, Mental & Behavioral Health",2007,344198.0,415.69806763285027,304514632.0,367771.2946859903,828
"Top-Level: Neurological, Mental & Behavioral Health",2008,355351.0,426.59183673469386,297767081.0,357463.4825930372,833
"Top-Level: Neurological, Mental & Behavioral Health",2009,425779.0,434.46836734693875,377354907.0,385056.0275510204,980
"Top-Level: Neurological, Mental & Behavioral Health",2010,400150.0,431.66127292340883,430156644.0,464030.8996763754,927
"Top-Level: Neurological, Mental & Behavioral Health",2011,351691.0,410.8539719626168,345034834.0,403078.07710280374,856
"Top-Level: Neurological, Mental & Behavioral Health",2012,372353.0,411.8949115044248,351882095.0,389250.1050884956,904
"Top-Level: Neurological, Mental & Behavioral Health",2013,343612.0,420.57772337821297,330111961.0,404053.80783353734,817
"Top-Level: Neurological, Mental & Behavioral Health",2014,321649.0,422.1115485564304,339700008.0,445800.53543307085,762
"Top-Level: Neurological, Mental & Behavioral Health",2015,328754.0,423.6520618556701,345549971.0,445296.3543814433,776
"Top-Level: Neurological, Mental & Behavioral Health",2016,347266.0,416.8859543817527,367557189.0,441245.12484993995,833
"Top-Level: Neurological, Mental & Behavioral Health",2017,368330.0,414.786036036036,384490358.0,432984.6373873874,888
"Top-Level: Neurological, Mental & Behavioral Health",2018,401800.0,425.635593220339,429231513.0,454694.39936440677,944
"Top-Level: Neurological, Mental & Behavioral Health",2019,381636.0,435.6575342465753,439464565.0,501671.8778538813,876
"Top-Level: Neurological, Mental & Behavioral Health",2020,402090.0,430.9646302250804,487362216.0,522360.3601286174,933
"Top-Level: Neurological, Mental & Behavioral Health",2021,383698.0,429.1923937360179,472260127.0,528255.1756152125,894
"Top-Level: Neurological, Mental & Behavioral Health",2022,422354.0,431.41368743615936,563045046.0,575122.6210418795,979
"Top-Level: Neurological, Mental & Behavioral Health",2023,431364.0,427.0930693069307,564837877.0,559245.4227722773,1010
"Top-Level: Neurological, Mental & Behavioral Health",2024,400169.0,399.3702594810379,554678174.0,553571.0319361277,1002
"Top-Level: Neurological, Mental & Behavioral Health",2025,323324.0,379.04337631887455,521955983.0,611906.1934349355,853
Top-Level: Cardiometabolic & Endocrine Systems,2006,154034.0,416.3081081081081,152941503.0,413355.4135135135,370
Top-Level: Cardiometabolic & Endocrine Systems,2007,171176.0,418.52322738386306,159128052.0,389066.141809291,409
Top-Level: Cardiometabolic & Endocrine Systems,2008,180648.0,411.498861047836,153388725.0,349404.840546697,439
Top-Level: Cardiometabolic & Endocrine Systems,2009,224670.0,427.12927756653994,208060623.0,395552.5152091255,526
Top-Level: Cardiometabolic & Endocrine Systems,2010,237788.0,437.1102941176471,260460016.0,478786.79411764705,544
Top-Level: Cardiometabolic & Endocrine Systems,2011,186247.0,416.65995525727067,190594173.0,426385.1744966443,447
Top-Level: Cardiometabolic & Endocrine Systems,2012,191355.0,423.35176991150445,181928433.0,402496.5331858407,452
Top-Level: Cardiometabolic & Endocrine Systems,2013,185916.0,436.4225352112676,178345057.0,418650.36854460096,426
Top-Level: Cardiometabolic & Endocrine Systems,2014,173814.0,421.878640776699,175176059.0,425184.609223301,412
Top-Level: Cardiometabolic & Endocrine Systems,2015,173531.0,410.2387706855792,184118600.0,435268.55791962176,423
Top-Level: Cardiometabolic & Endocrine Systems,2016,202881.0,415.73975409836066,229595542.0,470482.66803278687,488
Top-Level: Cardiometabolic & Endocrine Systems,2017,213910.0,424.4246031746032,224887824.0,446206.0,504
Top-Level: Cardiometabolic & Endocrine Systems,2018,225872.0,425.3709981167608,242109648.0,455950.3728813559,531
Top-Level: Cardiometabolic & Endocrine Systems,2019,206255.0,428.8045738045738,218499990.0,454261.9334719335,481
Top-Level: Cardiometabolic & Endocrine Systems,2020,231088.0,436.8393194706994,281008932.0,531207.8109640832,529
Top-Level: Cardiometabolic & Endocrine Systems,2021,205126.0,429.1338912133891,242625856.0,507585.4728033473,478
Top-Level: Cardiometabolic & Endocrine Systems,2022,218717.0,424.69320388349513,281202429.0,546024.1339805825,515
Top-Level: Cardiometabolic & Endocrine Systems,2023,211051.0,426.3656565656566,274641131.0,554830.5676767677,495
Top-Level: Cardiometabolic & Endocrine Systems,2024,205025.0,401.2230919765166,266948372.0,522403.8590998043,511
Top-Level: Cardiometabolic & Endocrine Systems,2025,166262.0,374.463963963964,256050558.0,576690.4459459459,444
