Method_Topic,fiscal_year,duration_days_sum,duration_days_avg,award_amount_sum,award_amount_avg,num_projects
Systems / Cell / Molecular Biology,2006,288029.0,401.1545961002785,255547241.0,355915.3774373259,718
Systems / Cell / Molecular Biology,2007,314333.0,405.59096774193546,292779241.0,377779.66580645164,775
Systems / Cell / Molecular Biology,2008,347635.0,414.3444576877235,308225538.0,367372.51251489867,839
Systems / Cell / Molecular Biology,2009,421655.0,425.9141414141414,371167691.0,374916.8595959596,990
Systems / Cell / Molecular Biology,2010,409823.0,436.91151385927503,375233304.0,400035.5053304904,938
Systems / Cell / Molecular Biology,2011,306675.0,395.19974226804123,298338198.0,384456.4407216495,776
Systems / Cell / Molecular Biology,2012,343884.0,412.33093525179856,311398332.0,373379.29496402876,834
Systems / Cell / Molecular Biology,2013,319698.0,421.2094861660079,284387227.0,374686.7285902503,759
Systems / Cell / Molecular Biology,2014,299969.0,410.9164383561644,295987263.0,405462.00410958903,730
Systems / Cell / Molecular Biology,2015,316079.0,410.4922077922078,302340326.0,392649.77402597404,770
Systems / Cell / Molecular Biology,2016,345112.0,402.2284382284382,336800200.0,392541.0256410256,858
Systems / Cell / Molecular Biology,2017,377970.0,407.29525862068965,363521338.0,391725.5797413793,928
Systems / Cell / Molecular Biology,2018,402421.0,411.47341513292434,397390753.0,406330.0132924335,978
Systems / Cell / Molecular Biology,2019,373719.0,419.43771043771045,398245955.0,446965.1571268238,891
Systems / Cell / Molecular Biology,2020,407500.0,428.4963196635121,437293287.0,459824.6971608833,951
Systems / Cell / Molecular Biology,2021,369117.0,414.738202247191,393939610.0,442628.7752808989,890
Systems / Cell / Molecular Biology,2022,396509.0,416.9390115667718,474341675.0,498781.992639327,951
Systems / Cell / Molecular Biology,2023,399430.0,408.41513292433535,500532773.0,511792.20143149287,978
Systems / Cell / Molecular Biology,2024,386463.0,395.15644171779144,458125329.0,468430.8067484663,978
Systems / Cell / Molecular Biology,2025,314293.0,374.6042908224076,449971104.0,536318.3599523242,839
Biophysics / Biochemistry / Structural,2006,152348.0,404.106100795756,132730610.0,352070.5835543767,377
Biophysics / Biochemistry / Structural,2007,177086.0,404.30593607305934,163375051.0,373002.39954337897,438
Biophysics / Biochemistry / Structural,2008,185063.0,414.01118568232664,168527882.0,377019.870246085,447
Biophysics / Biochemistry / Structural,2009,217699.0,426.0254403131116,206082823.0,403293.19569471624,511
Biophysics / Biochemistry / Structural,2010,216278.0,438.69776876267747,251081846.0,509293.8052738337,493
Biophysics / Biochemistry / Structural,2011,164283.0,414.8560606060606,174110375.0,439672.66414141416,396
Biophysics / Biochemistry / Structural,2012,171387.0,411.9879807692308,172571483.0,414835.29567307694,416
Biophysics / Biochemistry / Structural,2013,158174.0,429.82065217391306,161406119.0,438603.58423913043,368
Biophysics / Biochemistry / Structural,2014,166225.0,428.41494845360825,183972470.0,474155.8505154639,388
Biophysics / Biochemistry / Structural,2015,155004.0,414.44919786096256,180243153.0,481933.56417112297,374
Biophysics / Biochemistry / Structural,2016,171102.0,408.35799522673034,204675282.0,488485.1599045346,419
Biophysics / Biochemistry / Structural,2017,180030.0,393.9387308533917,201969777.0,441946.9956236324,457
Biophysics / Biochemistry / Structural,2018,202011.0,429.81063829787234,240293131.0,511261.98085106385,470
Biophysics / Biochemistry / Structural,2019,180354.0,418.45475638051045,237583000.0,551236.6589327146,431
Biophysics / Biochemistry / Structural,2020,197198.0,432.45175438596493,247339457.0,542411.0899122807,456
Biophysics / Biochemistry / Structural,2021,179219.0,429.7817745803357,226987123.0,544333.6282973621,417
Biophysics / Biochemistry / Structural,2022,174425.0,414.3111638954869,239189734.0,568146.6365795725,421
Biophysics / Biochemistry / Structural,2023,183965.0,426.8329466357309,231657786.0,537489.0626450116,431
Biophysics / Biochemistry / Structural,2024,177358.0,399.4549549549549,232105789.0,522760.78603603604,444
Biophysics / Biochemistry / Structural,2025,137438.0,374.49046321525884,209786782.0,571626.1089918256,367
Model Organisms,2006,48756.0,416.71794871794873,37788545.0,322979.0170940171,117
Model Organisms,2007,53222.0,419.07086614173227,39785283.0,313269.94488188974,127
